,artist,count,genre
890,Cute Girls Doing Cute Things,15,future bass
891,Cutting Crew,2,80s
892,Cuushe,3,electronic
893,Cyndi Lauper,2,pop
894,Cypis,2,Hip-Hop
895,Czarface,3,Hip-Hop
896,Cássia Eller,2,mpb
897,Céline Dion,1,pop
898,Cö shu Nie,63,japanese
899,D'Angelo,3,soul
900,D'Sound,1,funk
901,D*Minds,1,Drum and bass
902,D-Block & S-te-Fan,1,hardstyle
903,D-Real [愛],3,Hip-Hop
904,D.O.,2,exo
905,D.Sanguh,1,
906,D0d.,1,
907,DA PUMP,1,j-pop
908,DADARAY,2,japanese
909,DALsooobin,1,k-pop
910,DANGERDOOM,1,Hip-Hop
911,DAO,1,chillout
912,DAOKO,8,japanese
913,DAVICHI,1,k-pop
914,DAY6,1,Korean
915,DB Omerta,1,
916,DBangz,1,boom bap
917,DDark,2,Grime
918,DE DE MOUSE,1,electronic
919,DEAN,279,rnb
920,DECO*27,28,vocaloid
921,DEMONDICE,33,Hip-Hop
922,DENONBU,2,electropop
923,DIA,3,k-pop
924,DIIV,1,shoegaze
925,DJ Camgirl,3,Juke
926,DJ Chari,1,hip hop
927,DJ Clent,1,Juke
928,DJ Deeon,1,ghettotech
929,DJ Drama,2,Hip-Hop
930,DJ Earl,1,Juke
931,DJ FLP,1,footwork
932,DJ FRIP a.k.a. BeatLab,1,
933,DJ Fresh,4,Drum and bass
934,DJ Genki,7,happy hardcore
935,DJ Grimoire,3,japanese
936,DJ Grumble,2,Hip-Hop
937,DJ Harrison,3,instrumental
938,DJ Hasebe,1,japanese
939,DJ Hotday,1,All
940,DJ Hummus,15,
941,DJ Jazzy Jeff & The Fresh Prince,1,Hip-Hop
942,DJ Kayz,1,dj
943,DJ Khaled,6,Hip-Hop
944,DJ Kryptonite,2,underground hip-hop
945,DJ Laugh,1,happy hardcore
946,DJ Manny,1,Juke
947,DJ Mustard,2,Hip-Hop
948,DJ Myosuke,11,speedcore
949,DJ Nate,1,Juke
950,DJ Noriken,18,happy hardcore
951,DJ Okawari,1,japanese
952,DJ Orange Julius,2,Juke
953,DJ Rashad,2,Juke
954,DJ Re:code,1,hyperpop
955,DJ Roc,1,Juke
956,DJ Ryow a.k.a. Smooth current,1,hip hop
957,DJ Scheme,1,Hip-Hop
958,DJ Shadow,6,trip-hop
959,DJ Shimamura,7,happy hardcore
960,DJ Snake,5,trap
961,DJ Sound Effects,7,sound effects
962,DJ Splash Drip,1,
963,DJ T-Why,1,Juke
964,DJ TECHNORCH,32,hardcore
965,DJ Taye,2,Juke
966,DJ Tre,1,Juke
967,DJ WILDPARTY,1,frenchcore
968,DJ'TEKINA//SOMETHING,3,electronic
969,DJMAX,3,pop
970,DJPoyoshi,15,
971,DLJ,5,salsa
972,DNCE,9,pop
973,DOLL$BOXX,1,J-rock
974,DOMDIL RO,1,
975,DONGURIZU,1,japanese
976,DOWNHILL2k01,1,electronic
977,DOYOUNG,1,Korean
978,DPR IAN,74,Korean
979,DPR LIVE,20,Hip-Hop
980,DREAMS COME TRUE,1,j-pop
981,DROELOE,2,electronic
982,DRWN.,8,beats
983,DSS,2,speed metal
984,DUCKWRTH,207,rap
985,DUDA BEAT,2,pop
986,DUSTCELL,1,j-pop
987,DV-i,5,hardcore breaks
988,DVRGNT,1,
989,Da,1,post-punk
990,DaBaby,91,Hip-Hop
991,Dabeull,3,electronic
992,Daby Touré,1,african
993,Dad Feels,1,synthwave
994,Dada Life,2,electronic
995,Daedelus,1,electronic
996,Daft Punk,191,electronic
997,Dai,3,Soundtrack
998,Daichi Yamamoto,166,hip hop
999,Daisi,2,jazz
1000,Daisy,1,seen live
1001,Dalai Lama,6,buddhist
1002,Daler Mehndi,4,Bhangra
1003,Dan Bull,2,rap
1004,Dan Fogelberg,12,singer-songwriter
1005,Dan Mason ダン·メイソン,1,vaporwave
1006,Dandies,1,rockabilly
1007,Daniel Caesar,52,rnb
1008,Daniel Herskedal,1,jazz
1009,Danny Brown,7,Hip-Hop
1010,Danny Wilson,1,80s
1011,Darius,1,pop
1012,Dark Cat,32,future bass
1013,Dark Sermon,3,deathcore
1014,Darlene Love,3,soul
1015,Darude,4,trance
1016,Daryl Hall & John Oates,11,80s
1017,Dasutt,1,Korean
1018,Datsik,74,dubstep
1019,Datsik & Kill the Noise,1,dubstep
1020,Daul,1,soul
1021,Dave Grusin,2,jazz
1022,Dave Pierce,1,
1023,Dave Rodgers,1,eurobeat
1024,Dave Soldier,4,experimental
1025,Dave Winnel,1,House
1026,David Benoit,1,Smooth Jazz
1027,David Bowie,28,rock
1028,David Byrne,1,alternative
1029,David Chief,1,instrumental
1030,David Gates,4,Sentimental
1031,David Glen Eisley,1,hard rock
1032,David Guetta,13,House
1033,David Hugo,1,indie
1034,David Kushner,1,indie
1035,David Lee Roth,1,hard rock
1036,David Monrad Johansen,1,Classical
1037,Dbmk,1,indie pop
1038,DeVita,6,pop
1039,Dead or Alive,18,new wave
1040,Deadlife,1,depressive black metal
1041,Dean Fujioka,3,pop
1042,Dean Martin,12,jazz
1043,Death Grips,360,Hip-Hop
1044,Deaton Chris Anthony,1,rnb
1045,Deb Never,1,indie
1046,Debelah Morgan,1,rnb
1047,Deca,2,darkwave
1048,Decap,1,USA
1049,Decapitated,4,death metal
1050,DedachiKenta,4,electronic
1051,Deeb,1,downtempo
1052,Deep Purple,2,hard rock
1053,Deerhoof,1,experimental
1054,Def Leppard,1,hard rock
1055,Del Tha Funkee Homosapien,1,Hip-Hop
1056,Delayde,23,Lo-Fi
1057,Delights,1,british
1058,Delta Angel,4,trance
1059,Delta Heavy,2,Drum and bass
1060,Demi Lovato,3,pop
1061,Demian,1,Psychedelic Rock
1062,Demolition Hammer,3,thrash metal
1063,Demon Hunter,1,metalcore
1064,Dengaryu,1,japanese
1065,Denkare,1,Gothic Metal
1066,Denzel Curry,8,Hip-Hop
1067,Deon Custom,6,electronic
1068,Depeche Mode,26,electronic
1069,Dept,1,rock
1070,Derek Duke,1,Soundtrack
1071,Derek Pope,1,Hip-Hop
1072,Desiigner,1,Hip-Hop
1073,Desired,2,future funk
1074,Despised Icon,6,deathcore
1075,Destin Conrad,1,rnb
1076,Destiny Rogers,2,pop
1077,Dethklok,11,death metal
1078,Dev,10,electronic
1079,Devaloop,2,instrumental hip-hop
1080,Devo,3,new wave
1081,Devourment,1,Brutal Death Metal
1082,Dewaldo,1,Chill-Hop
1083,Dexter Gordon,1,jazz
1084,Diana Ross,3,soul
1085,Diana Ross & The Supremes,1,soul
1086,Dick Van Dyke and The Vantastix,6,vocal
1087,Diddy,1,Hip-Hop
1088,Digiffects Sound Effects Library,10,Absolute Bangers
1089,Digitalism,2,electronic
1090,Dil Withers,1,beats
1091,Dillon Francis,4,moombahton
1092,Dimmu Borgir,1,black metal
1093,Dinah Washington,1,jazz
1094,Diners,1,indie rock
1095,Dio,5,heavy metal
1096,Diomedes Chinaski,2,rap
1097,Dionne Warwick,3,soul
1098,Dios Trio,1,math rock
1099,Diplo,4,electronic
1100,Dire Straits,3,classic rock
1101,Direct,2,dubstep
1102,Dirty Androids,175,electronic
1103,"Dirty Androids, Punipuni Denki",1,
1104,Dirty Androids; Punipuni Denki,1,
1105,Dirty Audio,2,electronic
1106,Dirty Bird,1,House
1107,Dirty Loops,2,funk
1108,Dirty Money Music Group,1,
1109,Dirty Palm,1,future house
1110,Dirty Projectors,1,experimental
1111,Dirty South,1,House
1112,Dirtyphonics,2,Drum and bass
1113,Disclosure,13,electronic
1114,Discrete,1,swedish
1115,Diskopunk,1,indie
1116,Dj 113,1,Colombia
1117,Dj Spaldin,2,
1118,Dmitri Shostakovich,3,Classical
1119,DoS MoNoS,2,japanese
1120,Doctor P,2,dubstep
1121,Document One,2,dubstep
1122,Dodge & Fuski,1,dubstep
1123,Dodo,1,downtempo
1124,Doechii,24,rap
1125,Dog Blood,1,dubstep
1126,Doja Cat,3242,pop
1127,Doja Cat feat. Ariana Grande,5,
1128,Doja Cat feat. Eve,3,
1129,Doja Cat feat. JID,3,doja cat
1130,Doja Cat feat. SZA,4,kiss me more
1131,Doja Cat feat. Young Thug,1,
1132,"Doja Cat, The Weeknd",5,canada
1133,Dok2,1,Korean
1134,Doktor Plekter,2,french house
1135,Doktor Rheal,6,hip hop
1136,Dolly Parton,2,country
1137,Domenico Scarlatti,2,baroque
1138,Domo Genesis,14,Hip-Hop
1139,Don Caballero,1,math rock
1140,Don Diablo,1,House
1141,Don Henley,1,classic rock
1142,Don L,2,rap
1143,Don Malik,1,Hip-Hop
1144,Don Moen,142,praise & worship
1145,Donald Byrd,1,jazz
1146,Donnie,1,Neo-Soul
1147,Donny Hathaway,1,soul
1148,Donovan,2,folk
1149,Dontcry,10,Lo-Fi
1150,Doom Doom,1,experimental
1151,Doopees,1,japanese
1152,Dorian Concept,39,electronic
1153,Doris Day,3,jazz
1154,Dorothe Mosh,2,Lo-Fi
1155,Dos Monos,1,japanese
1156,Doss,1,trance
1157,Dougal,1,happy hardcore
1158,Doughnuts Hole,1,j-pop
1159,Dove Cameron,1,pop
1160,Downlink,2,dubstep
1161,Dr. Dre,5,Hip-Hop
1162,Dr. Gabba,1,chill
1163,Dr. Hook,3,classic rock
1164,DragonForce,2,Power metal
1165,Drake,352,Hip-Hop
1166,Draken,1,heavy metal
1167,Dram,1,hip hop
1168,Dramadigs,2,hip hop
1169,Dream Continuum,1,Juke
1170,Dream Easy Collective,5,chill
1171,Dream Theater,1,Progressive metal
1172,DreamNote,1,k-pop
1173,Dreamcatcher,653,k-pop
1174,Dreamer Isioma,5,rnb
1175,Dreamgirl,1,Soundtrack
1176,Dreamville,2,rap
1177,Dropgun,1,big room
1178,Drown in Sulphur,1,deathcore
1179,Drugdealer,2,indie rock
1180,Dua Lipa,18,pop
1181,Dua Saleh,1,experimental
1182,Dualizm,2,jazz
1183,Dubsidia,1,dubstep
1184,Dubé,1,Garage Punk
1185,Dude26,2,hip hop
1186,Dudu Braga,1,Bossa Nova
1187,Duke Ellington,2,jazz
1188,Dumbfoundead,1,Hip-Hop
1189,Dumbo Gets Mad,1,psychedelic
1190,Duran Duran,19,new wave
1191,Dustvoxx,9,japanese
1192,Dutch Uncles,1,indie
1193,Dvwn,5,Korean
1194,Dweeb,3,beats
1195,Dwele,2,Neo-Soul
1196,Dwyer,4,Grunge
1197,Dyatic,3,dubstep
1198,Dying Fetus,20,death metal
1199,Dylan Matthew,1,USA
1200,Dynamic Duo,1,Korean
1201,DynamicDuo,2,Korean
1202,D’allant,1,electronica
1203,EARTHGANG,7,Hip-Hop
1204,EASTGHOST,1,trap
1205,EBIMAYO,16,japanese
1206,EKKSTACY,2,seen live
1207,ELOQ,1,trap
1208,ELRIS,7,k-pop
1209,EMEFE,86,seen live
1210,ENDRUN,1,hip hop
1211,ENHYPEN,110,k-pop
1212,EQ Why,1,Juke
1213,ESBEE,3,Korean
1214,ETIA.,3,j-core
1215,EVADE FROM 宇宙,1,japanese
1216,EVISBEATS,6,Hip-Hop
1217,EXID,15,k-pop
1218,EXO,32,k-pop
1219,EXO-K,1,k-pop
1220,EXOCIETY,4,Hip-Hop
1221,Eagles,1,classic rock
1222,Earl Sweatshirt,19,Hip-Hop
1223,Early Garden,1,
1224,"Earth, Wind & Fire",58,funk
1225,East frog,1,hip hop
1226,Echae en Route,1,indie
1227,Echo & the Bunnymen,10,post-punk
1228,Echosmith,3,indie
1229,Ed Helms,2,comedy
1230,Ed Sheeran,5,acoustic
1231,Eddie Cochran,1,rockabilly
1232,Eddie Kendricks,2,soul
1233,Eddie Money,1,classic rock
1234,Eddy Lover,1,Reggaeton
1235,Eden,1,ethereal
1236,Edge Of Silence,1,electronic
1237,Edo Boys,1,eurobeat
1238,Eduardo Luzquiños,3,lofi
1239,Edward Chen,1,christian
1240,Edward Sharpe & The Magnetic Zeros,1,folk
1241,Eets,1,Hip-Hop
1242,Eevee,6,Lo-Fi
1243,Effin,6,electronic
1244,Eiffel 65,15,dance
1245,Elaquent,1,electronic
1246,Electric Guest,2,indie pop
1247,Electric Light Orchestra,4,classic rock
1248,Electric Mantis,1,electronic
1249,Elephant Gym,583,math rock
1250,Elhae,1,electronic
1251,Elijah Nang,1,Lo-Fi
1252,Elior,1,electronic
1253,Ella Fitzgerald,2,jazz
1254,Ella Grace,1,folk
1255,Elle Varner,1,soul
1256,Ellie Goulding,8,female vocalists
1257,Elliot Moss,1,alternative
1258,Elliott Smith,1,singer-songwriter
1259,Ellis,2,singer-songwriter
1260,Elton John,11,pop
1261,Eluvium,1,ambient
1262,Elvis Costello,1,rock
1263,Elvis Costello & The Attractions,1,new wave
1264,Elvis Depressedly,1,Lo-Fi
1265,Elvis Presley,3,rock n roll
1266,ElyOtto,1,hyperpop
1267,Emapea,2,instrumental
1268,Embee,1,Hip-Hop
1269,"Emerson, Lake & Palmer",1,Progressive rock
1270,Emi Meyer,1,jazz
1271,Eminem,9,rap
1272,Eminence,2,thrash metal
1273,EmoCosine,65,kawaii future bass
1274,Emothebadkid,1,
1275,Emoticon,1,happy hardcore
1276,Emotional Oranges,1,soul
1277,Empire of the Sun,3,electronic
1278,End of the World,1,japanese
1279,Endorfin.,2,japanese
1280,Engelbert Humperdinck,1,oldies
1281,Engelwood,1,Hip-Hop
1282,England Dan,1,80s
1283,English Dogs,1,punk
1284,Enjo,5,instrumental
1285,Enjoy Music Club,2,hip hop
1286,Ennio Morricone,1,Soundtrack
1287,Enno Cheng,2,taiwanese
1288,Enon,1,indie
1289,Enrique Granados,1,Classical
1290,Enschway,2,electronic
1291,Envine,1,hardstyle
1292,Enya,2,new age
1293,Ephixa,6,dubstep
1294,Epik High,7,Korean
1295,Era,1,new age
1296,Erai,3,deathcore
1297,Eraldo Bernocchi,1,ambient
1298,Eraserheads,1,OPM
1299,Eric Bellinger,2,rnb
1300,Erik Iker,1,Progressive House
1301,Erik Santos,1,OPM
1302,Erik Satie,46,Classical
1303,Erika de Casier,3,rnb
1304,Ernesto Nazareth,1,choro
1305,Erykah Badu,2,soul
1306,Es-k,1,Hip-Hop
1307,Eslabon Armado,1,Corridos tumbados
1308,Esperanza Spalding,1,jazz
1309,Estelle,1,rnb
1310,Estugarda,3,germany
1311,Ethan Fields,1,
1312,Eugene,2,Korean
1313,Eugene Lopin,1,
1314,EunHyuk,2,Super junior
1315,Eunha,2,Gfriend
1316,Europe,11,hard rock
1317,Eurythmics,15,80s
1318,Evanescence,4,rock
1319,Evann McIntosh,1,soul
1320,Eve,17,Hip-Hop
1321,"Evelyn ""Champagne"" King",1,Disco
1322,Everglow,612,k-pop
1323,Evergreen,3,emo
1324,Everything Everything,1,seen live
1325,Evil Nine,1,breakbeat
1326,Excision,79,dubstep
1327,Excision & Space Laces,4,Brostep
1328,Existence Has Failed,1,deathcore
1329,Eydie Gormé,2,jazz
1330,Eyedi,7,k-pop
1331,Eyedress,1,electronic
1332,F.HERO,1,Hip-Hop
1333,F.O.O.L,1,electro
1334,FAKE TYPE.,2,jazz
1335,FAKY,1,japanese
1336,FANTOMPOWER,14,Lo-Fi
1337,FANXY CHILD,1,rap
1338,FKA twigs,5,trip-hop
1339,FKJ,2,electronic
1340,FLETCHER,4,pop
1341,FLOOR BABA,4,wonky
1342,FNCY,1,
1343,FR:EDEN,1,Hip-Hop
1344,FREE NATIONALS FEAT. CHRONIXX,1,
1345,FUKKIT,1,rap
1346,Fabolous,1,Hip-Hop
1347,Factal,1,
1348,Faith No More,1,alternative rock
1349,Falco,12,80s
1350,Fall Out Boy,1,pop punk
1351,Fallen Roses,1,electronic
1352,Fallujah,1,Technical Death Metal
1353,Falsion,1,
1354,Famous Dex,1,drill
1355,Fastway,1,hard rock
1356,Fat Jon,2,Hip-Hop
1357,Fat Night,2,soul
1358,Father,2,seen live
1359,Fatlip,1,Hip-Hop
1360,Fats Domino,1,blues
1361,Favright,1,electro
1362,Fax Gang,3,trap
1363,Faye Webster,1,seen live
1364,Fazlija,2,balkan
1365,Fed Nance,1,beats
1366,Feed Me,6,dubstep
1367,Feed Me Jack,1,math rock
1368,Feint,4,Drum and bass
1369,Felipe Gordon,1,deep house
1370,Felix Blumenfeld,1,Classical
1371,Felix Mendelssohn,1,Classical
1372,Fellsius,2,electronic
1373,Feng Suave,1,indie
1374,Fergie,5,pop
1375,Ferry Corsten,1,trance
1376,Ferry Tayle,1,trance
1377,Feryquitous,47,japanese
1378,Fetish,1,cybergrind
1379,Fetty Wap,2,Hip-Hop
1380,Feu! Chatterton,2,french
1381,Figub Brazlevic,1,beats
1382,Fiji Blue,6,electronic
1383,Finnolia Sound Effects,1,finland
1384,First Beige,2,indie
1385,Fisher,3,indie
1386,Fisherman,12,rnb
1387,Fishmans,9,dub
1388,Fit for an Autopsy,2,deathcore
1389,Fitz Ambro$e,3,beats
1390,Fitz and the Tantrums,4,soul
1391,Five Star Hotel,2,noise
1392,Flamant Rouge,1,
1393,Flamingosis,2,Hip-Hop
1394,Flammy,2,darkpsy
1395,Flatbush ZOMBiES,2,Hip-Hop
1396,Flavien Berger,1,french
1397,Flavors,3,beats
1398,Fleetwood Mac,73,classic rock
1399,Fleshgod Apocalypse,394,Technical Death Metal
1400,Flight Facilities,1,electronic
1401,Flite,3,Drum and bass
1402,Flitz&Suppe,6,beats
1403,Flo Milli,1,Hip-Hop
1404,Flo Rida,6,Hip-Hop
1405,Flobama,1,hip hop
1406,Floral,2,math rock
1407,Florence + the Machine,1,indie
1408,Flosstradamus,5,trap
1409,Flowchart,1,ambient
1410,Flowervillain,1,Hip-Hop
1411,Floyd Fuji,2,soul
1412,Flughand,12,instrumental hip-hop
1413,Flume,3,electronic
1414,Flux Pavilion,2,dubstep
1415,Flying Fingers,1,
1416,Flying Lotus,341,electronic
1417,FoZZtone,1,J-rock
1418,Foals,9,indie
1419,Fontana Folle,1,jazz
1420,Foo Fighters,3,rock
1421,For Tracy Hyde,1,shoegaze
1422,Foreigner,6,classic rock
1423,Foria,1,
1424,Fort Minor,1,Hip-Hop
1425,Fortnight,1,classic rock
1426,Foster Parents,1,math rock
1427,Foster the People,2,indie
1428,Fountains of Wayne,1,power pop
1429,Four Tet,1,electronic
1430,Four Tops,7,soul
1431,Fourward,5,Drum and bass
1432,Fousheé,1,soul
1433,Fox Stevenson,6,dubstep
1434,Foxtail-Grass Studio,3,touhou
1435,Fozzie,1,USA
1436,Fra Lippo Lippi,1,new wave
1437,Francis Poulenc,2,Classical
1438,Frank Ifield,1,60s
1439,Frank Ocean,351,rnb
1440,Frank Sinatra,7,jazz
1441,FrankJavCee,2,vaporwave
1442,Frankie Goes to Hollywood,2,80s
1443,Frankie Valli & the Four Seasons,2,oldies
1444,Franz,1,classic rock
1445,Franz Ferdinand,1,indie
1446,Franz Joseph Haydn,1,Classical
1447,Franz Liszt,3,Classical
1448,Franz Schubert,2,Classical
1449,Françoise Hardy,1,french
1450,Fraw,1,Raw Hardstyle
1451,Fraxo,3,
1452,Fred again..,3,seen live
1453,Freddie Dredd,4,phonk
1454,Freddie Gibbs,6,Hip-Hop
1455,Freddie Hubbard,1,jazz
1456,Freddie Mercury,1,rock
1457,Frederic,64,psychedelic
1458,Frederick Delius,1,Classical
1459,Free Nationals,546,soul
1460,Free Nationals feat. Anderson .Paak,1,
1461,Free Nationals feat. Benny Sings,1,
1462,Free Nationals feat. Callum Connor,1,
1463,Free Nationals feat. Callum Connor & Tnava,1,
1464,"Free Nationals feat. Conway, Westside Gunn & Joyce Wrice",1,
1465,Free Nationals feat. Daniel Caesar & Unknown Mortal Orchestra,1,
1466,"Free Nationals feat. J.I.D, Kadhja Bonet & MIKNNA",1,
1467,Free Nationals feat. Mac Miller & Kali Uchis,1,
1468,Free Nationals feat. Shafiq Husayn,1,
1469,Free Nationals feat. Syd,4,
1470,Free Nationals feat. T.I.,1,
1471,Freezer,2,dubstep
1472,French Braids,1,canada
1473,Friday Night Plans,7,soul
1474,Friend Within,2,House
1475,Fromm,2,Korean
1476,Froukje,3,pop
1477,Frums,18,glitch
1478,Frédéric Chopin,12,Classical
1479,Fujii Kaze,12,japanese
1480,Function Phantom,2,trance
1481,Funk Fiction,1,Funk Rock
1482,Funkadelic,2,funk
1483,Funktown America,1,
1484,Funky District,1,
1485,Funky Notes,1,instrumental hip-hop
1486,Funshine,1,
1487,Furry Beats,1,
1488,Fusq,88,electronic
1489,Future,12,Hip-Hop
1490,Future Girlfriend Music,1,vaporwave
1491,G-Eazy,5,Hip-Hop
1492,G.Rina,1,japanese
1493,G2,1,Hip-Hop
1494,GANMI,1,
1495,GATTÜSO,1,EDM
1496,GFRIEND,449,k-pop
1497,GGK(Vo. Madison McFerrin),1,Soundtrack
1498,GIRIBOY,174,Korean
1499,GLIM SPANKY,10,J-rock
1500,GLOOMCVLT,1,vaporwave
1501,GOLEMM,4,electronic
1502,GOT the beat,310,k-pop
1503,GOT7,4,k-pop
1504,GRAPEVINE,1,J-rock
1505,GRASAM ANIMAL,2,
1506,GRAVEDGR,54,trap
1507,GRIKO,4,
1508,GTS Sound Team,34,
1509,GWSN,39,k-pop
1510,GYARI(ココアシガレットP),17,japanese
1511,Gabriel,1,electronica
1512,Gabriel & Dresden,1,trance
1513,Gabriel Fauré,1,Classical
1514,Gabriel Garzón-Montano,4,soul
1515,Gaho,1,rnb
1516,Gain,1,k-pop
1517,Galantis,1,House
1518,Gaming Dubstep,20,
1519,Gangrene,2,Hip-Hop
1520,Ganja White Night,1,dubstep
1521,Gao the Arsonist,1,Sludge
1522,Garbage,1,rock
1523,Garden of Shadows,6,Melodic Death Metal
1524,Gareth Coker,13,Soundtrack
1525,Gareth.T,2,indie pop
1526,Garfunkel and Oates,2,comedy
1527,Garoad,3,synthwave
1528,Gary Clark Jr.,1,blues
1529,Gary Jules,1,singer-songwriter
1530,Gary Valenciano,35,OPM
1531,Gas,2,ambient
1532,Gas Lab,1,funky
1533,Gasoline,5,abstract hip-hop
1534,Gawr Gura,54,hololive
1535,Gayla Peevey,1,christmas
1536,Geeks,1,Korean
1537,Geirr Tveitt,1,Classical
1538,Gemini,10,dubstep
1539,Gen Hoshino,2,japanese
1540,Gen Neo,1,chinese
1541,Genesis Owusu,2,funk
1542,Genox,1,chillout
1543,George,1,australian
1544,George Clanton,3,chillwave
1545,George Frideric Handel,1,Classical
1546,George Harrison,1,classic rock
1547,George Michael,15,pop
1548,Geoxor,3,electro house
1549,Germany Germany,3,chillwave
1550,Gesu No Kiwami Otome,998,japanese
1551,Gesu no Kiwami Otome.,1,indie rock
1552,Getter Jaani,4,estonian
1553,Getty,25,electronic
1554,Geórgia Neve,1,
1555,Ghost Beats,1,
1556,Ghost Data,16,electronic
1557,Ghost Town DJs,1,rnb
1558,Ghost like girlfriend,2,japan
1559,Ghost-Note,2,funk
1560,GiMGiGaM,1,pop
1561,Gianni and Sarah,1,reggae
1562,Gift Of Gab,1,Hip-Hop
1563,Giga,5,vocaloid
1564,GigaP,1,vocaloid
1565,Gilbert O'Sullivan,2,pop
1566,Gillian Hills,1,ye-ye
1567,Ginger Root,8,soul
1568,Gingus,27,dariacore
1569,Gino Vannelli,1,pop
1570,Giorgio Moroder,1,Disco
1571,Giraffage,1,chillwave
1572,Girlfriend,1,J-rock
1573,Girls' Generation,10,k-pop
1574,Girls' Generation-Oh!GG,4,k-pop
1575,Girls' Generation-TTS,1,k-pop
1576,Giveon,28,rnb
1577,Glacier,1,heavy metal
1578,Gladys Knight & The Pips,1,soul
1579,Glass Animals,159,electronic
1580,Glass Beach,258,indie rock
1581,Glee Cast,1,musical
1582,Glen Campbell,1,country
1583,Glen Check,110,Korean
1584,Glimlip,1,Lo-Fi
1585,Gloria Estefan,3,latin
1586,Gloria Groove,2,pop
1587,Gloryhammer,1,Power metal
1588,Gnyonpix,2,electronic
1589,Godspeed You! Black Emperor,2,post-rock
1590,Going Quantum,1,dubstep
1591,Gold School,1,
1592,GoldLink,18,electronic
1593,Golden Boy,1,electronic
1594,Golden Child,2,k-pop
1595,Goldfrapp,1,electronic
1596,Gontard!,2,
1597,Gonza,7,
1598,Gonzaguinha,3,mpb
1599,Good Game,1,math rock
1600,Good Times Ahead,2,moombahton
1601,Goosebumps,1,hardcore
1602,Gopnik McBlyat,1,Hardbass
1603,Gorilla Attack,1,J-rock
1604,Gorillaz,19,alternative
1605,Goth Babe,4,dream pop
1606,Gotye,1,indie
1607,Grabbitz,1,dubstep
1608,Grace Belly,1,
1609,Gracie Abrams,1,seen live
1610,Graeme Allwright,1,french
1611,Grafix,1,Drum and bass
1612,Graham Kartna,1,experimental
1613,Graham Kendrick,1,christian
1614,Gram,10,brazilian
1615,Gramatik,3,Hip-Hop
1616,Grand Blanc,1,french
1617,Grand Funk Railroad,1,classic rock
1618,Grant,4,electronic
1619,Grant Bowtie,10,electronic
1620,Granular,4,noise
1621,Grateful Dead,2,classic rock
1622,Graves,21,horror punk
1623,Graves & Myrne,2,
1624,Gray,5,experimental
1625,Green Assassin Dollar,1,beats
1626,Greentea Peng,1,rnb
1627,Greyl,6,future funk
1628,Greyson Chance,1,pop
1629,Gridman (CV: Hikaru Midorikawa),1,
1630,Grimes,23,electronic
1631,Grip,2,hardcore
1632,Grizzly,1,grindcore
1633,Grmmr.126,1,numeric
1634,Groovy Kaiju,1,future funk
1635,GroovyDominoes52,1,youtube
1636,GroovyRoom,5,Korean
1637,Group_inou,91,electronica
1638,Grouplove,3,indie
1639,"Grover Washington, Jr.",3,jazz
1640,Grum,1,electronic
1641,Gsoul,10,rnb
1642,Guapdad 4000,1,rap
1643,Gucci Mane,3,Hip-Hop
1644,Guerilla Toss,1,noise rock
1645,Gummibär,1,dance
1646,Gummy Bear,11,dance
1647,Guns N' Roses,1,hard rock
1648,Guru Griff,1,instrumental
1649,Gus Dapperton,3,indie pop
1650,Gustav Holst,1,Classical
1651,Gustav Mahler,1,Classical
1652,Guzimi,1,germany
1653,Gwen Stefani,6,pop
1654,György Kurtág,1,contemporary classical
1655,H E R B,1,Lo-Fi
1656,H.1,3,chillhop
1657,H.E.R.,2,rnb
1658,H.I.N.P (Hot Issue of Ntl. Producers),1,Korean
1659,H1-KEY,1,k-pop
1660,HA SUNG WOON,1,rnb
1661,HA:TFELT,9,k-pop
1662,HAIM,1,indie pop
1663,HALCALI,3,j-pop
1664,HAN YO HAN,1,Korean
1665,HEALTH,4,experimental
1666,HEAVEE,1,Juke
1667,HELLOVENUS,1,k-pop
1668,"HHSU 𓃚 𝕮𝖆𝖒𝖇𝖎𝖚𝖒, 𝕏𝕪𝕝𝕖𝕞, 🙴 𝓗𝓮𝓪𝓻𝓽𝔀𝓸𝓸𝓭",1,trance
1669,HIBIKI SAKURA(CV:AI FAIROUZ),1,japan
1670,HIGHLIGHT,1,k-pop
1671,HINAPIA,7,k-pop
1672,HM SURF,12,chillhop
1673,HNNY,1,deep house
1674,HOMESHAKE,221,Lo-Fi
1675,HONNE,5,electronic
1676,HOUSE OF SAY,4,pop
1677,HUSH FORTE,2,Hip-Hop
1678,HYO,61,k-pop
1679,HYUKOH,47,Korean
1680,Ha Hyunsang,1,indie
1681,Haan,1,sludge metal
1682,Haan808,1,New Zealand
1683,Hablot Brown,2,rnb
1684,Hachioji P,2,vocaloid
1685,Haddaway,3,dance
1686,Haikaiss,1,rap
1687,Hail Mary Mallon,1,Hip-Hop
1688,Hailee Steinfeld,1,pop
1689,Haisuinonasa,5,math rock
1690,Half-Life,1,japanese
1691,Halfby,1,electronic
1692,Haliene,1,female vocalists
1693,Halo at yojohan,2,indie
1694,Halsey,2,pop
1695,HammerFall,6,Power metal
1696,Hammock,3,post-rock
1697,Hampton The Hampster,32,dance
1698,Hanako Oku,1,japanese
1699,Hand Habits,1,seen live
1700,Hand Made,1,rock
1701,Handbook,4,instrumental hip-hop
